id,#0,#1,#2,#3,#4,#5,#6,#7,time,millisecond
-1,-1,-4,-1,-6,-36,-12,-2,-2,0:51:52@19/4/2015,220824446 
-1,0,-1,-4,-3,-52,-10,-3,-1,0:51:52@19/4/2015,220824455 
-1,0,-1,-4,-3,-52,-10,-3,-1,0:51:52@19/4/2015,220824464 
-1,-1,-2,-1,5,-12,13,-1,-1,0:51:52@19/4/2015,220824474 
-1,-2,0,5,16,6,7,1,1,0:51:52@19/4/2015,220824484 
-1,-2,0,5,16,6,7,1,1,0:51:52@19/4/2015,220824494 
-1,0,3,3,-4,0,4,2,0,0:51:52@19/4/2015,220824505 
-1,-2,-2,0,-4,-2,-9,-3,-2,0:51:52@19/4/2015,220824516 
-1,0,0,2,7,25,20,4,2,0:51:52@19/4/2015,220824528 
-1,0,-1,-2,-13,9,3,0,0,0:51:52@19/4/2015,220824540 
-1,-2,-1,5,3,-11,-7,-3,-2,0:51:52@19/4/2015,220824553 
-1,-1,-3,-4,-5,-14,-16,-4,-4,0:51:52@19/4/2015,220824566 
-1,0,1,-5,-10,0,-13,-5,-4,0:51:52@19/4/2015,220824580 
-1,-3,-2,-1,3,-7,-5,-3,-1,0:51:52@19/4/2015,220824594 
-1,-1,-3,-3,-4,-3,-2,-4,-3,0:51:52@19/4/2015,220824609 
-1,-3,-6,1,10,10,3,0,0,0:51:52@19/4/2015,220824624 
-1,0,2,1,2,15,2,1,0,0:51:52@19/4/2015,220824641 
-1,-3,-2,-4,-2,-3,-1,-3,-2,0:51:52@19/4/2015,220824657 
-1,0,0,2,-9,-1,-4,-1,0,0:51:52@19/4/2015,220824673 
-1,-2,-1,2,2,2,-2,1,0,0:51:52@19/4/2015,220824690 
-1,-3,-6,-9,10,4,7,-1,-3,0:51:52@19/4/2015,220824707 
-1,-1,-2,-4,-13,-12,-13,-3,-1,0:51:52@19/4/2015,220824725 
-1,-2,-4,-2,-3,-3,-2,-4,-3,0:51:52@19/4/2015,220824743 
-1,-1,3,6,2,1,4,4,1,0:51:52@19/4/2015,220824762 
-1,-4,0,-1,-2,4,3,0,-2,0:51:52@19/4/2015,220824782 
-1,0,3,9,5,2,3,-2,-2,0:51:52@19/4/2015,220824801 
-1,1,0,4,-1,-2,-2,-1,0,0:51:52@19/4/2015,220824810 
-1,0,2,6,-8,0,0,-1,1,0:51:52@19/4/2015,220824819 
-1,-1,-2,-5,-2,-10,-3,0,0,0:51:52@19/4/2015,220824828 
-1,-1,-1,-5,2,4,5,1,-2,0:51:52@19/4/2015,220824838 
-1,-1,-1,-2,-4,-6,-4,-2,-3,0:51:52@19/4/2015,220824848 
-1,0,-3,3,5,7,4,0,-2,0:51:52@19/4/2015,220824859 
-1,-2,-1,-2,-5,-4,-3,-2,0,0:51:52@19/4/2015,220824870 
-1,0,-1,-2,8,1,2,-1,1,0:51:52@19/4/2015,220824882 
-1,-1,-3,2,0,3,4,1,-3,0:51:52@19/4/2015,220824894 
-1,0,2,1,-1,0,-3,-1,1,0:51:52@19/4/2015,220824907 
-1,-2,-5,-2,-18,0,-1,-1,-2,0:51:52@19/4/2015,220824920 
-1,-2,-2,1,-4,-2,-1,-1,-1,0:51:52@19/4/2015,220824933 
-1,0,1,4,0,2,-1,0,-2,0:51:52@19/4/2015,220824947 
-1,-3,1,8,18,2,2,-2,-4,0:51:52@19/4/2015,220824961 
-1,-3,-7,-24,-2,0,-6,-3,-2,0:51:52@19/4/2015,220824976 
-1,-1,-2,-11,-2,-1,-2,-2,-1,0:51:52@19/4/2015,220824991 
-1,-2,0,-3,-4,-2,-1,-1,-1,0:51:53@19/4/2015,220825007 
-1,3,10,23,19,18,3,2,2,0:51:53@19/4/2015,220825023 
-1,0,-2,-14,-19,-15,4,-1,2,0:51:53@19/4/2015,220825040 
-1,-4,-5,-3,1,-3,-9,-4,-2,0:51:53@19/4/2015,220825057 
-1,-2,-4,7,38,8,-4,-1,0,0:51:53@19/4/2015,220825075 
-1,-3,-2,0,-21,-4,-4,-6,-3,0:51:53@19/4/2015,220825093 
-1,3,3,23,-13,7,8,2,0,0:51:53@19/4/2015,220825112 
-1,-2,-2,7,16,2,-4,-2,-3,0:51:53@19/4/2015,220825131 
-1,-3,-3,-13,18,10,5,1,0,0:51:53@19/4/2015,220825152 
-1,-2,-4,-15,-17,1,-6,-3,-2,0:51:53@19/4/2015,220825161 
-1,-1,-1,10,-32,-11,-2,-1,-2,0:51:53@19/4/2015,220825170 
-1,-1,-1,10,-32,-11,-2,-1,-2,0:51:53@19/4/2015,220825179 
-1,1,3,13,2,0,5,2,0,0:51:53@19/4/2015,220825190 
-1,1,3,13,2,0,5,2,0,0:51:53@19/4/2015,220825200 
-1,-1,-1,2,-4,2,-5,-2,0,0:51:53@19/4/2015,220825211 
-1,-2,-4,-7,4,1,4,-1,-1,0:51:53@19/4/2015,220825222 
-1,0,-3,-14,13,-2,-5,-3,0,0:51:53@19/4/2015,220825234 
-1,0,-3,-7,24,-3,12,0,-1,0:51:53@19/4/2015,220825246 
-1,-1,4,16,-1,-12,-13,-5,-3,0:51:53@19/4/2015,220825259 
-1,1,2,-7,-7,6,10,2,1,0:51:53@19/4/2015,220825272 
-1,0,-3,-1,-9,-9,-6,-1,-2,0:51:53@19/4/2015,220825286 
-1,-1,-3,0,-10,-6,-4,0,-3,0:51:53@19/4/2015,220825300 
-1,-3,-2,-7,0,6,-2,1,-1,0:51:53@19/4/2015,220825317 
-1,-1,0,12,-8,-5,-1,-4,-3,0:51:53@19/4/2015,220825332 
-1,-2,2,11,-1,2,3,0,0,0:51:53@19/4/2015,220825348 
-1,-1,-1,-2,-2,0,-2,-1,-1,0:51:53@19/4/2015,220825364 
-1,-1,0,5,-2,-1,-1,1,0,0:51:53@19/4/2015,220825380 
-1,-3,-2,-6,-17,-4,-3,-1,-2,0:51:53@19/4/2015,220825397 
-1,-2,-1,0,-4,-4,-1,0,0,0:51:53@19/4/2015,220825415 
-1,1,2,-4,1,-1,-3,-1,-2,0:51:53@19/4/2015,220825433 
-1,0,2,2,-2,0,-1,0,0,0:51:53@19/4/2015,220825451 
-1,-3,-6,-4,-7,3,4,0,-1,0:51:53@19/4/2015,220825470 
-1,0,0,-1,-19,-2,-5,-1,0,0:51:53@19/4/2015,220825489 
-1,-2,0,-1,-2,-2,-2,-3,-2,0:51:53@19/4/2015,220825509 
-1,-1,-1,-3,-4,-3,-2,-1,-3,0:51:53@19/4/2015,220825518 
-1,-2,-1,4,10,3,0,-1,1,0:51:53@19/4/2015,220825527 
-1,-2,-1,4,10,3,0,-1,1,0:51:53@19/4/2015,220825536 
-1,-3,-2,-8,-22,-3,-3,-3,-1,0:51:53@19/4/2015,220825546 
-1,1,-3,-4,-5,-1,-2,-1,0,0:51:53@19/4/2015,220825556 
-1,1,-3,-4,-5,-1,-2,-1,0,0:51:53@19/4/2015,220825566 
0,5,-4,-4,-1,-4,-2,-1,-1,0:51:53@19/4/2015,220825578 
0,-9,-1,-5,2,-3,-1,-2,-3,0:51:53@19/4/2015,220825590 
0,-11,-1,-4,-3,-5,-1,-3,-3,0:51:53@19/4/2015,220825602 
0,0,-3,-2,-7,-3,-3,-2,-2,0:51:53@19/4/2015,220825615 
0,1,-1,0,2,0,-3,-2,0,0:51:53@19/4/2015,220825628 
0,-3,-1,-2,1,-5,-3,-2,-2,0:51:53@19/4/2015,220825641 
0,8,-1,-3,-5,-4,-2,-2,-1,0:51:53@19/4/2015,220825656 
0,0,-2,0,0,-3,-2,0,0,0:51:53@19/4/2015,220825670 
0,-2,-3,-2,1,2,2,-4,-2,0:51:53@19/4/2015,220825685 
0,4,0,0,1,0,-6,-2,-1,0:51:53@19/4/2015,220825701 
0,-7,-4,-4,-5,-4,-2,-1,-3,0:51:53@19/4/2015,220825717 
0,1,3,2,6,1,-2,-5,-4,0:51:53@19/4/2015,220825734 
0,-3,-6,-4,-3,2,1,-1,-1,0:51:53@19/4/2015,220825751 
0,2,0,-1,1,3,3,0,1,0:51:53@19/4/2015,220825768 
0,-4,-4,-3,0,1,-2,-1,-2,0:51:53@19/4/2015,220825786 
0,2,1,1,-9,15,3,0,1,0:51:53@19/4/2015,220825804 
0,-1,-2,-2,-5,-9,-2,-1,-1,0:51:53@19/4/2015,220825823 
0,-3,-1,1,1,3,0,-1,-1,0:51:53@19/4/2015,220825843 
